cancer_site,period,age,HSCT,sex,prevalence
Brain Cancer,10-year,75+,Western HSCT,Male,1.578260869565217
Brain Cancer,10-year,0-54,Belfast HSCT,Female,15.476190476190476
Brain Cancer,10-year,0-54,Northern HSCT,Female,28.476190476190478
Brain Cancer,10-year,0-54,South Eastern HSCT,Female,22.285714285714285
Brain Cancer,10-year,0-54,Southern HSCT,Female,23.523809523809526
Brain Cancer,10-year,0-54,Western HSCT,Female,14.238095238095239
Brain Cancer,10-year,55-64,Belfast HSCT,Female,5.208333333333334
Brain Cancer,10-year,55-64,Northern HSCT,Female,9.583333333333334
Brain Cancer,10-year,55-64,South Eastern HSCT,Female,7.5
Brain Cancer,10-year,55-64,Southern HSCT,Female,7.916666666666666
Brain Cancer,10-year,55-64,Western HSCT,Female,4.791666666666667
Brain Cancer,10-year,65-74,Belfast HSCT,Female,3.125
Brain Cancer,10-year,65-74,Northern HSCT,Female,5.75
Brain Cancer,10-year,65-74,South Eastern HSCT,Female,4.5
Brain Cancer,10-year,65-74,Southern HSCT,Female,4.75
Brain Cancer,10-year,65-74,Western HSCT,Female,2.875
Brain Cancer,10-year,75+,Belfast HSCT,Female,1.1904761904761905
Brain Cancer,10-year,75+,Northern HSCT,Female,2.1904761904761907
Brain Cancer,10-year,75+,South Eastern HSCT,Female,1.7142857142857144
Brain Cancer,10-year,75+,Southern HSCT,Female,1.8095238095238095
Brain Cancer,10-year,75+,Western HSCT,Female,1.0952380952380953
Colorectal Cancer,10-year,0-54,Belfast HSCT,Male,47.135720233139054
Colorectal Cancer,10-year,0-54,Northern HSCT,Male,66.54454621149043
Colorectal Cancer,10-year,0-54,South Eastern HSCT,Male,55.603663613655286
Colorectal Cancer,10-year,0-54,Southern HSCT,Male,52.00666111573689
Colorectal Cancer,10-year,0-54,Western HSCT,Male,48.70940882597836
Colorectal Cancer,10-year,55-64,Belfast HSCT,Male,122.37829586455732
Colorectal Cancer,10-year,55-64,Northern HSCT,Male,172.76935886761032
Colorectal Cancer,10-year,55-64,South Eastern HSCT,Male,144.36358590063836
Colorectal Cancer,10-year,55-64,Southern HSCT,Male,135.0247016375243
Colorectal Cancer,10-year,55-64,Western HSCT,Male,126.46405772966972
Colorectal Cancer,10-year,65-74,Belfast HSCT,Male,197.27171801276717
Colorectal Cancer,10-year,65-74,Northern HSCT,Male,278.50124895920067
Colorectal Cancer,10-year,65-74,South Eastern HSCT,Male,232.71162919789066
Colorectal Cancer,10-year,65-74,Southern HSCT,Male,217.65750763252845
Colorectal Cancer,10-year,65-74,Western HSCT,Male,203.85789619761312
Colorectal Cancer,10-year,75+,Belfast HSCT,Male,262.21426588953653
Colorectal Cancer,10-year,75+,Northern HSCT,Male,370.1848459616986
Colorectal Cancer,10-year,75+,South Eastern HSCT,Male,309.32112128781574
Colorectal Cancer,10-year,75+,Southern HSCT,Male,289.3111296142104
Colorectal Cancer,10-year,75+,Western HSCT,Male,270.96863724673887
Colorectal Cancer,10-year,0-54,Belfast HSCT,Female,54.92168465019144
Colorectal Cancer,10-year,0-54,Northern HSCT,Female,78.98364079359554
Colorectal Cancer,10-year,0-54,South Eastern HSCT,Female,68.40932822833275
Colorectal Cancer,10-year,0-54,Southern HSCT,Female,58.590323703445875
Colorectal Cancer,10-year,0-54,Western HSCT,Female,49.095022624434385
Colorectal Cancer,10-year,55-64,Belfast HSCT,Female,91.240863209189
Colorectal Cancer,10-year,55-64,Northern HSCT,Female,131.21475809258615
Colorectal Cancer,10-year,55-64,South Eastern HSCT,Female,113.64775495997215
Colorectal Cancer,10-year,55-64,Southern HSCT,Female,97.33553776540201
Colorectal Cancer,10-year,55-64,Western HSCT,Female,81.56108597285068
Colorectal Cancer,10-year,65-74,Belfast HSCT,Female,135.35537765402017
Colorectal Cancer,10-year,65-74,Northern HSCT,Female,194.65645666550643
Colorectal Cancer,10-year,65-74,South Eastern HSCT,Female,168.5958927949878
Colorectal Cancer,10-year,65-74,Southern HSCT,Female,144.39679777236336
Colorectal Cancer,10-year,65-74,Western HSCT,Female,120.99547511312215
Colorectal Cancer,10-year,75+,Belfast HSCT,Female,227.48207448659937
Colorectal Cancer,10-year,75+,Northern HSCT,Female,327.1451444483119
Colorectal Cancer,10-year,75+,South Eastern HSCT,Female,283.3470240167073
Colorectal Cancer,10-year,75+,Southern HSCT,Female,242.67734075878872
Colorectal Cancer,10-year,75+,Western HSCT,Female,203.34841628959276
Gallbladder And Other Biliary Cancer,10-year,0-54,Belfast HSCT,Male,0.9714285714285714
Gallbladder And Other Biliary Cancer,10-year,0-54,Northern HSCT,Male,0.9714285714285714
Gallbladder And Other Biliary Cancer,10-year,0-54,South Eastern HSCT,Male,0.7428571428571428
Gallbladder And Other Biliary Cancer,10-year,0-54,Southern HSCT,Male,0.6285714285714286
Gallbladder And Other Biliary Cancer,10-year,0-54,Western HSCT,Male,0.6857142857142857
Gallbladder And Other Biliary Cancer,10-year,55-64,Belfast HSCT,Male,2.1857142857142855
Gallbladder And Other Biliary Cancer,10-year,55-64,Northern HSCT,Male,2.1857142857142855
Gallbladder And Other Biliary Cancer,10-year,55-64,South Eastern HSCT,Male,1.6714285714285713
Gallbladder And Other Biliary Cancer,10-year,55-64,Southern HSCT,Male,1.4142857142857144
Gallbladder And Other Biliary Cancer,10-year,55-64,Western HSCT,Male,1.5428571428571427
Gallbladder And Other Biliary Cancer,10-year,65-74,Belfast HSCT,Male,6.071428571428573
Gallbladder And Other Biliary Cancer,10-year,65-74,Northern HSCT,Male,6.071428571428573
