"","var","age","bias","state","term","mode","2.5%","25%","50%","75%","97.5%"
"30","inc_prob",29,1,NA,NA,2.44998875468105e-05,2.10112867720348e-05,2.30054430017096e-05,2.41892383168497e-05,2.50870627624282e-05,2.5558075970442e-05
"31","inc_prob",30,1,NA,NA,3.62017957086202e-05,3.20598816530122e-05,3.38854207046351e-05,3.6008534992028e-05,3.73157363013775e-05,3.84036806309228e-05
"32","inc_prob",31,1,NA,NA,5.32511072865355e-05,4.85435424710272e-05,4.98410577596445e-05,5.23784724764985e-05,5.66731893461343e-05,5.82278126807099e-05
"33","inc_prob",32,1,NA,NA,7.74732672698347e-05,7.09926253707973e-05,7.18840622697714e-05,7.59195725069485e-05,8.46205764417145e-05,8.80938157193268e-05
"34","inc_prob",33,1,NA,NA,0.000110625466599157,9.91129208865624e-05,0.000103439615049543,0.000109047659643478,0.000122683643293311,0.000129994570049219
"35","inc_prob",34,1,NA,NA,0.000153848306751382,0.000135435129660659,0.000145054641227759,0.000152512120919244,0.000172270373498011,0.000184765646549944
"36","inc_prob",35,1,NA,NA,0.000206998536564168,0.000180634337048863,0.000195938884981064,0.00020818534241778,0.000232481241323181,0.000250758224956619
"37","inc_prob",36,1,NA,NA,0.000268146536507376,0.000233734651871214,0.000255539015436049,0.000272218281274007,0.00029992171772418,0.000323125872709467
"38","inc_prob",37,1,NA,NA,0.000333590480968982,0.000293115011930261,0.000320965977386875,0.000340015225718104,0.000369036045224047,0.000394577982658784
"39","inc_prob",38,1,NA,NA,0.000398571661670897,0.000356275271853442,0.000386596828581125,0.000407772241110898,0.000434065546078458,0.000457509463374545
"40","inc_prob",39,1,NA,NA,0.000458509123917402,0.000420528503257502,0.000447541576493318,0.000467029556391817,0.000491981805755202,0.000506542995542823
"41","inc_prob",40,1,NA,NA,0.000510252588295283,0.000483479163610232,0.000499297947075879,0.000514903400762909,0.000539358424374941,0.000540689653525831
"42","inc_prob",41,1,NA,NA,0.000552835958109211,0.00052928475201476,0.000542209262885692,0.000560073693282318,0.000569625718253049,0.000589189724775309
"43","inc_prob",42,1,NA,NA,0.000587511774249532,0.000554153777651467,0.000573353365575747,0.00059077289061757,0.000604203201109637,0.000636462015921547
"44","inc_prob",43,1,NA,NA,0.000617220815639344,0.000575797090980485,0.00059071767184791,0.000615907636230712,0.000653373306836086,0.000679567291615528
"45","inc_prob",44,1,NA,NA,0.000645849442083504,0.000594661337645297,0.000614478701409247,0.00064000361831259,0.00069760010378409,0.000721689601456797
"46","inc_prob",45,1,NA,NA,0.000677588283770473,0.000619947816687441,0.000641681190693174,0.000668109538828347,0.000737059816764328,0.00078203975524851
"47","inc_prob",46,1,NA,NA,0.000716538679333665,0.00065539956635151,0.000680934687895541,0.000710517688806998,0.000779256131872369,0.000848316044054118
"48","inc_prob",47,1,NA,NA,0.00076655446805604,0.000706586585893632,0.000734858774954312,0.000769490950831097,0.000827866025838649,0.000922496663088367
"49","inc_prob",48,1,NA,NA,0.000831222778993907,0.000778396683923046,0.000806622750064062,0.000845623171294869,0.000886561849801791,0.00100595603206844
