"","var","age","bias","state","term","mode","2.5%","25%","50%","75%","97.5%"
"36","inc_prob",35,1,NA,NA,3.82668571100323e-05,3.58454908882183e-05,3.74370417130461e-05,4.07117060482169e-05,4.34600983481394e-05,4.92498497256884e-05
"37","inc_prob",36,1,NA,NA,4.91976057012797e-05,4.55775842063136e-05,4.75886909330451e-05,5.25030052824473e-05,5.54820341563829e-05,6.41518744401056e-05
"38","inc_prob",37,1,NA,NA,6.23432207823586e-05,5.69762281795342e-05,5.96512736446024e-05,6.6891381412573e-05,7.01399218369833e-05,8.15233071820963e-05
"39","inc_prob",38,1,NA,NA,7.78402646356407e-05,7.0664664088506e-05,7.40434569046675e-05,8.33781550258978e-05,8.56625377537857e-05,0.000101694170614366
"40","inc_prob",39,1,NA,NA,9.57964399920845e-05,8.66779361938236e-05,9.12620672828298e-05,0.000101185714242832,0.000103128666460488,0.000123922885265754
"41","inc_prob",40,1,NA,NA,0.000116317981915589,0.000105043944108419,0.000112344070300236,0.000119983874323618,0.000123596657766045,0.000147879688307616
"42","inc_prob",41,1,NA,NA,0.00013954202276658,0.000126575160682843,0.000136924270294728,0.000139726440095569,0.000147162492552986,0.000173363545758031
"43","inc_prob",42,1,NA,NA,0.000165664469318557,0.000150094903263709,0.000159824122098048,0.000165375182608359,0.000173205098947418,0.000200376155002801
"44","inc_prob",43,1,NA,NA,0.000194955102197816,0.000177252694946783,0.00018453522874483,0.000197897488024443,0.000201930449945888,0.000229142883424475
"45","inc_prob",44,1,NA,NA,0.000227755106612995,0.000207273933702603,0.000218165174439433,0.000233473015903251,0.000235557981272204,0.000260083630904688
"46","inc_prob",45,1,NA,NA,0.000264456624280058,0.000238467640148487,0.000253450646771421,0.000270137119812771,0.000275331706760472,0.000294234741714681
"47","inc_prob",46,1,NA,NA,0.000305468099724133,0.000274587082307569,0.000294139658370505,0.00030911265414504,0.000316795660052742,0.000333712860714047
"48","inc_prob",47,1,NA,NA,0.000351172786900425,0.000315384970721566,0.00034273602732979,0.000353887342743913,0.000365159428184596,0.00037722066069787
"49","inc_prob",48,1,NA,NA,0.000401890698337048,0.00036214811526311,0.000394708518546401,0.000407368946386472,0.000420079192346198,0.000428315785644168
"50","inc_prob",49,1,NA,NA,0.000457856128532695,0.000414564725193801,0.000448634512631076,0.000468028366618576,0.000476884073762841,0.000486192316259966
