sex,age,deprivation,hsct,geo,wellbeing,probability,percentage
Males,45-54,Quintile 2,NHSCT,Urban,good_wellbeing,5.619743812461889e-4,0.056197438124618894
Females,45-54,Quintile 2,NHSCT,Urban,good_wellbeing,4.7634018981819817e-4,0.04763401898181982
Males,55-64,Quintile 2,NHSCT,Urban,good_wellbeing,5.887350660674361e-4,0.058873506606743606
Females,55-64,Quintile 2,NHSCT,Urban,good_wellbeing,4.923966007109467e-4,0.04923966007109467
Males,65-74,Quintile 2,NHSCT,Urban,good_wellbeing,6.101436139244335e-4,0.061014361392443345
Females,65-74,Quintile 2,NHSCT,Urban,good_wellbeing,5.352136964249421e-4,0.05352136964249421
Males,75-110,Quintile 2,NHSCT,Urban,good_wellbeing,6.369042987456811e-4,0.0636904298745681
Females,75-110,Quintile 2,NHSCT,Urban,good_wellbeing,5.726786551746878e-4,0.05726786551746878
Males,16-34,Quintile 3,NHSCT,Urban,good_wellbeing,6.420942497413164e-4,0.06420942497413165
Females,16-34,Quintile 3,NHSCT,Urban,good_wellbeing,5.264015921302683e-4,0.05264015921302683
Males,35-44,Quintile 3,NHSCT,Urban,good_wellbeing,6.478788826218688e-4,0.06478788826218687
Females,35-44,Quintile 3,NHSCT,Urban,good_wellbeing,5.321862250108204e-4,0.053218622501082044
Males,45-54,Quintile 3,NHSCT,Urban,good_wellbeing,6.073864524580021e-4,0.06073864524580021
Females,45-54,Quintile 3,NHSCT,Urban,good_wellbeing,5.148323263691635e-4,0.05148323263691635
Males,55-64,Quintile 3,NHSCT,Urban,good_wellbeing,6.363096168607638e-4,0.06363096168607638
Females,55-64,Quintile 3,NHSCT,Urban,good_wellbeing,5.321862250108208e-4,0.05321862250108208
Males,65-74,Quintile 3,NHSCT,Urban,good_wellbeing,6.594481483829732e-4,0.06594481483829732
Females,65-74,Quintile 3,NHSCT,Urban,good_wellbeing,5.784632880552401e-4,0.05784632880552401
Males,75-110,Quintile 3,NHSCT,Urban,good_wellbeing,6.883713127857358e-4,0.06883713127857358
Females,75-110,Quintile 3,NHSCT,Urban,good_wellbeing,6.189557182191067e-4,0.061895571821910675
Males,16-34,Quintile 4,NHSCT,Urban,good_wellbeing,6.480951305800204e-4,0.06480951305800205
Females,16-34,Quintile 4,NHSCT,Urban,good_wellbeing,5.313212331782148e-4,0.053132123317821474
Males,35-44,Quintile 4,NHSCT,Urban,good_wellbeing,6.539338254501105e-4,0.06539338254501105
