cancer_site,sex,period,age,HSCT,prevalence
Stomach Cancer,Male,10-year,55-64,Western HSCT,8
Stomach Cancer,Male,10-year,65-74,Belfast HSCT,13
Stomach Cancer,Male,10-year,65-74,Northern HSCT,12
Stomach Cancer,Male,10-year,65-74,South Eastern HSCT,32
Stomach Cancer,Male,10-year,65-74,Southern HSCT,-11
Stomach Cancer,Male,10-year,65-74,Western HSCT,13
Stomach Cancer,Male,10-year,75+,Belfast HSCT,29
Stomach Cancer,Male,10-year,75+,Northern HSCT,30
Stomach Cancer,Male,10-year,75+,South Eastern HSCT,8
Stomach Cancer,Male,10-year,75+,Southern HSCT,38
Stomach Cancer,Male,10-year,75+,Western HSCT,30
All Cancers,Male,25-year,0-54,Belfast HSCT,1052
All Cancers,Male,25-year,0-54,Northern HSCT,1630
All Cancers,Male,25-year,0-54,South Eastern HSCT,1334
All Cancers,Male,25-year,0-54,Southern HSCT,1161
All Cancers,Male,25-year,0-54,Western HSCT,980
All Cancers,Male,25-year,55-64,Belfast HSCT,1405
All Cancers,Male,25-year,55-64,Northern HSCT,2175
All Cancers,Male,25-year,55-64,South Eastern HSCT,1780
All Cancers,Male,25-year,55-64,Southern HSCT,1550
All Cancers,Male,25-year,55-64,Western HSCT,1308
All Cancers,Male,25-year,65-74,Belfast HSCT,2468
All Cancers,Male,25-year,65-74,Northern HSCT,3822
All Cancers,Male,25-year,65-74,South Eastern HSCT,3128
All Cancers,Male,25-year,65-74,Southern HSCT,2724
All Cancers,Male,25-year,65-74,Western HSCT,2299
All Cancers,Male,25-year,75+,Belfast HSCT,3570
All Cancers,Male,25-year,75+,Northern HSCT,5528
All Cancers,Male,25-year,75+,South Eastern HSCT,4525
All Cancers,Male,25-year,75+,Southern HSCT,3940
All Cancers,Male,25-year,75+,Western HSCT,3325
Bladder Cancer,Male,25-year,0-54,Belfast HSCT,8
Bladder Cancer,Male,25-year,0-54,Northern HSCT,1
Bladder Cancer,Male,25-year,0-54,South Eastern HSCT,10
Bladder Cancer,Male,25-year,0-54,Southern HSCT,16
Bladder Cancer,Male,25-year,0-54,Western HSCT,7
Bladder Cancer,Male,25-year,55-64,Belfast HSCT,25
Bladder Cancer,Male,25-year,55-64,Northern HSCT,37
Bladder Cancer,Male,25-year,55-64,South Eastern HSCT,28
Bladder Cancer,Male,25-year,55-64,Southern HSCT,22
Bladder Cancer,Male,25-year,55-64,Western HSCT,21
Bladder Cancer,Male,25-year,65-74,Belfast HSCT,57
Bladder Cancer,Male,25-year,65-74,Northern HSCT,84
Bladder Cancer,Male,25-year,65-74,South Eastern HSCT,65
Bladder Cancer,Male,25-year,65-74,Southern HSCT,50
Bladder Cancer,Male,25-year,65-74,Western HSCT,49
Bladder Cancer,Male,25-year,75+,Belfast HSCT,122
Bladder Cancer,Male,25-year,75+,Northern HSCT,188
Bladder Cancer,Male,25-year,75+,South Eastern HSCT,138
Bladder Cancer,Male,25-year,75+,Southern HSCT,97
Bladder Cancer,Male,25-year,75+,Western HSCT,104
Blood Leukaemia,Male,25-year,0-54,Belfast HSCT,71
Blood Leukaemia,Male,25-year,0-54,Northern HSCT,105
Blood Leukaemia,Male,25-year,0-54,South Eastern HSCT,90
Blood Leukaemia,Male,25-year,0-54,Southern HSCT,79
Blood Leukaemia,Male,25-year,0-54,Western HSCT,65
Blood Leukaemia,Male,25-year,55-64,Belfast HSCT,34
Blood Leukaemia,Male,25-year,55-64,Northern HSCT,51
Blood Leukaemia,Male,25-year,55-64,South Eastern HSCT,44
Blood Leukaemia,Male,25-year,55-64,Southern HSCT,38
Blood Leukaemia,Male,25-year,55-64,Western HSCT,31
Blood Leukaemia,Male,25-year,65-74,Belfast HSCT,49
Blood Leukaemia,Male,25-year,65-74,Northern HSCT,71
Blood Leukaemia,Male,25-year,65-74,South Eastern HSCT,61
Blood Leukaemia,Male,25-year,65-74,Southern HSCT,54
Blood Leukaemia,Male,25-year,65-74,Western HSCT,44
Blood Leukaemia,Male,25-year,75+,Belfast HSCT,55
Blood Leukaemia,Male,25-year,75+,Northern HSCT,81
Blood Leukaemia,Male,25-year,75+,South Eastern HSCT,70
Blood Leukaemia,Male,25-year,75+,Southern HSCT,62
Blood Leukaemia,Male,25-year,75+,Western HSCT,50
Blood Lymphoma,Male,25-year,0-54,Belfast HSCT,101
Blood Lymphoma,Male,25-year,0-54,Northern HSCT,159
Blood Lymphoma,Male,25-year,0-54,South Eastern HSCT,119
Blood Lymphoma,Male,25-year,0-54,Southern HSCT,113
Blood Lymphoma,Male,25-year,0-54,Western HSCT,84
Blood Lymphoma,Male,25-year,55-64,Belfast HSCT,80
Blood Lymphoma,Male,25-year,55-64,Northern HSCT,125
Blood Lymphoma,Male,25-year,55-64,South Eastern HSCT,94
Blood Lymphoma,Male,25-year,55-64,Southern HSCT,89
Blood Lymphoma,Male,25-year,55-64,Western HSCT,67
Blood Lymphoma,Male,25-year,65-74,Belfast HSCT,90
Blood Lymphoma,Male,25-year,65-74,Northern HSCT,142
Blood Lymphoma,Male,25-year,65-74,South Eastern HSCT,106
Blood Lymphoma,Male,25-year,65-74,Southern HSCT,101
Blood Lymphoma,Male,25-year,65-74,Western HSCT,75
Blood Lymphoma,Male,25-year,75+,Belfast HSCT,105
Blood Lymphoma,Male,25-year,75+,Northern HSCT,165
Blood Lymphoma,Male,25-year,75+,South Eastern HSCT,123
Blood Lymphoma,Male,25-year,75+,Southern HSCT,117
Blood Lymphoma,Male,25-year,75+,Western HSCT,88
Blood Multiple Myeloma,Male,25-year,0-54,Belfast HSCT,17
Blood Multiple Myeloma,Male,25-year,0-54,Northern HSCT,13
Blood Multiple Myeloma,Male,25-year,0-54,South Eastern HSCT,10
Blood Multiple Myeloma,Male,25-year,0-54,Southern HSCT,11
Blood Multiple Myeloma,Male,25-year,0-54,Western HSCT,-2
Blood Multiple Myeloma,Male,25-year,55-64,Belfast HSCT,6
Blood Multiple Myeloma,Male,25-year,55-64,Northern HSCT,30
