sex,age,deprivation,hsct,geo,smoking,probability
Males,16-34,Quintile 4,NHSCT,Urban,current_smoker,1.8130609450647218e-4
Females,16-34,Quintile 4,NHSCT,Urban,current_smoker,1.0692410701663741e-4
Males,35-44,Quintile 4,NHSCT,Urban,current_smoker,1.3946622654344e-4
Females,35-44,Quintile 4,NHSCT,Urban,current_smoker,1.1157298123475199e-4
Males,45-54,Quintile 4,NHSCT,Urban,current_smoker,1.394662265434401e-4
Females,45-54,Quintile 4,NHSCT,Urban,current_smoker,1.348173523253254e-4
Males,55-64,Quintile 4,NHSCT,Urban,current_smoker,1.3016847810721084e-4
Females,55-64,Quintile 4,NHSCT,Urban,current_smoker,1.6271059763401342e-4
Males,65-74,Quintile 4,NHSCT,Urban,current_smoker,1.255196038890961e-4
Females,65-74,Quintile 4,NHSCT,Urban,current_smoker,1.1622185545286677e-4
Males,75-110,Quintile 4,NHSCT,Urban,current_smoker,5.5786490617376035e-5
Females,75-110,Quintile 4,NHSCT,Urban,current_smoker,4.1839867963032004e-5
Males,16-34,Least Deprived,NHSCT,Urban,current_smoker,1.2691426615453068e-4
Females,16-34,Least Deprived,NHSCT,Urban,current_smoker,7.484687491164631e-5
Males,35-44,Least Deprived,NHSCT,Urban,current_smoker,9.762635858040815e-5
Females,35-44,Least Deprived,NHSCT,Urban,current_smoker,7.810108686432649e-5
Males,45-54,Least Deprived,NHSCT,Urban,current_smoker,9.762635858040818e-5
Females,45-54,Least Deprived,NHSCT,Urban,current_smoker,9.43721466277279e-5
Males,55-64,Least Deprived,NHSCT,Urban,current_smoker,9.111793467504767e-5
Females,55-64,Least Deprived,NHSCT,Urban,current_smoker,1.1389741834380952e-4
Males,65-74,Least Deprived,NHSCT,Urban,current_smoker,8.786372272236738e-5
Females,65-74,Least Deprived,NHSCT,Urban,current_smoker,8.135529881700683e-5
Males,75-110,Least Deprived,NHSCT,Urban,current_smoker,3.905054343216327e-5
Females,75-110,Least Deprived,NHSCT,Urban,current_smoker,2.928790757412245e-5
Males,16-34,Most Deprived,SEHSCT,Urban,current_smoker,4.2606932209020976e-4
Females,16-34,Most Deprived,SEHSCT,Urban,current_smoker,2.512716514890981e-4
Males,35-44,Most Deprived,SEHSCT,Urban,current_smoker,3.2774563237708424e-4
Females,35-44,Most Deprived,SEHSCT,Urban,current_smoker,2.6219650590166737e-4
Males,45-54,Most Deprived,SEHSCT,Urban,current_smoker,3.2774563237708445e-4
Females,45-54,Most Deprived,SEHSCT,Urban,current_smoker,3.1682077796451485e-4
Males,55-64,Most Deprived,SEHSCT,Urban,current_smoker,3.058959235519457e-4
Females,55-64,Most Deprived,SEHSCT,Urban,current_smoker,0.00038236990443993177
Males,65-74,Most Deprived,SEHSCT,Urban,current_smoker,2.94971069139376e-4
Females,65-74,Most Deprived,SEHSCT,Urban,current_smoker,0.00027312136031423703
Males,75-110,Most Deprived,SEHSCT,Urban,current_smoker,1.3109825295083377e-4
Females,75-110,Most Deprived,SEHSCT,Urban,current_smoker,9.832368971312528e-5
Males,16-34,Quintile 2,SEHSCT,Urban,current_smoker,3.263509701116498e-4
