cancer_site,period,age,HSCT,sex,prevalence
Brain Cancer,25-year,55-64,South Eastern HSCT,Male,9.68503937007874
Brain Cancer,25-year,55-64,Southern HSCT,Male,6.968503937007875
Brain Cancer,25-year,55-64,Western HSCT,Male,6.968503937007875
Brain Cancer,25-year,65-74,Belfast HSCT,Male,7.779527559055118
Brain Cancer,25-year,65-74,Northern HSCT,Male,10.748031496062993
Brain Cancer,25-year,65-74,South Eastern HSCT,Male,8.393700787401574
Brain Cancer,25-year,65-74,Southern HSCT,Male,6.039370078740158
Brain Cancer,25-year,65-74,Western HSCT,Male,6.039370078740158
Brain Cancer,25-year,75+,Belfast HSCT,Male,3.1916010498687664
Brain Cancer,25-year,75+,Northern HSCT,Male,4.409448818897638
Brain Cancer,25-year,75+,South Eastern HSCT,Male,3.4435695538057747
Brain Cancer,25-year,75+,Southern HSCT,Male,2.477690288713911
Brain Cancer,25-year,75+,Western HSCT,Male,2.477690288713911
Brain Cancer,25-year,0-54,Belfast HSCT,Female,30.899653979238753
Brain Cancer,25-year,0-54,Northern HSCT,Female,52.59515570934257
Brain Cancer,25-year,0-54,South Eastern HSCT,Female,36.81660899653979
Brain Cancer,25-year,0-54,Southern HSCT,Female,38.78892733564014
Brain Cancer,25-year,0-54,Western HSCT,Female,30.899653979238753
Brain Cancer,25-year,55-64,Belfast HSCT,Female,8.294117647058822
Brain Cancer,25-year,55-64,Northern HSCT,Female,14.117647058823533
Brain Cancer,25-year,55-64,South Eastern HSCT,Female,9.882352941176471
Brain Cancer,25-year,55-64,Southern HSCT,Female,10.411764705882355
Brain Cancer,25-year,55-64,Western HSCT,Female,8.294117647058822
Brain Cancer,25-year,65-74,Belfast HSCT,Female,5.529411764705882
Brain Cancer,25-year,65-74,Northern HSCT,Female,9.411764705882355
Brain Cancer,25-year,65-74,South Eastern HSCT,Female,6.588235294117648
Brain Cancer,25-year,65-74,Southern HSCT,Female,6.941176470588237
Brain Cancer,25-year,65-74,Western HSCT,Female,5.529411764705882
Brain Cancer,25-year,75+,Belfast HSCT,Female,2.2768166089965396
Brain Cancer,25-year,75+,Northern HSCT,Female,3.875432525951558
Brain Cancer,25-year,75+,South Eastern HSCT,Female,2.7128027681660902
Brain Cancer,25-year,75+,Southern HSCT,Female,2.858131487889274
Brain Cancer,25-year,75+,Western HSCT,Female,2.2768166089965396
Colorectal Cancer,25-year,0-54,Belfast HSCT,Male,56.16991963260619
Colorectal Cancer,25-year,0-54,Northern HSCT,Male,83.20091848450055
Colorectal Cancer,25-year,0-54,South Eastern HSCT,Male,68.07347876004592
Colorectal Cancer,25-year,0-54,Southern HSCT,Male,60.94374282433982
Colorectal Cancer,25-year,0-54,Western HSCT,Male,55.61194029850745
Colorectal Cancer,25-year,55-64,Belfast HSCT,Male,148.7462686567164
Colorectal Cancer,25-year,55-64,Northern HSCT,Male,220.3283582089552
Colorectal Cancer,25-year,55-64,South Eastern HSCT,Male,180.26865671641792
Colorectal Cancer,25-year,55-64,Southern HSCT,Male,161.38805970149252
Colorectal Cancer,25-year,55-64,Western HSCT,Male,147.2686567164179
Colorectal Cancer,25-year,65-74,Belfast HSCT,Male,265.7669345579793
Colorectal Cancer,25-year,65-74,Northern HSCT,Male,393.6636050516648
Colorectal Cancer,25-year,65-74,South Eastern HSCT,Male,322.0884041331803
Colorectal Cancer,25-year,65-74,Southern HSCT,Male,288.35419058553384
Colorectal Cancer,25-year,65-74,Western HSCT,Male,263.1268656716418
Colorectal Cancer,25-year,75+,Belfast HSCT,Male,435.31687715269805
Colorectal Cancer,25-year,75+,Northern HSCT,Male,644.8071182548794
Colorectal Cancer,25-year,75+,South Eastern HSCT,Male,527.569460390356
Colorectal Cancer,25-year,75+,Southern HSCT,Male,472.31400688863374
Colorectal Cancer,25-year,75+,Western HSCT,Male,430.9925373134328
Colorectal Cancer,25-year,0-54,Belfast HSCT,Female,64.42443878731774
Colorectal Cancer,25-year,0-54,Northern HSCT,Female,93.91390881740337
Colorectal Cancer,25-year,0-54,South Eastern HSCT,Female,77.3260819254802
Colorectal Cancer,25-year,0-54,Southern HSCT,Female,66.51886137468176
Colorectal Cancer,25-year,0-54,Western HSCT,Female,59.81670909511687
Colorectal Cancer,25-year,55-64,Belfast HSCT,Female,119.23860217542234
Colorectal Cancer,25-year,55-64,Northern HSCT,Female,173.81856051839853
Colorectal Cancer,25-year,55-64,South Eastern HSCT,Female,143.1173339504744
Colorectal Cancer,25-year,55-64,Southern HSCT,Female,123.11501967137235
Colorectal Cancer,25-year,55-64,Western HSCT,Female,110.71048368433233
Colorectal Cancer,25-year,65-74,Belfast HSCT,Female,200.0361027539921
Colorectal Cancer,25-year,65-74,Northern HSCT,Female,291.6000925711641
Colorectal Cancer,25-year,65-74,South Eastern HSCT,Female,240.09534829900485
Colorectal Cancer,25-year,65-74,Southern HSCT,Female,206.53922703077987
Colorectal Cancer,25-year,65-74,Western HSCT,Female,185.72922934505903
Colorectal Cancer,25-year,75+,Belfast HSCT,Female,385.3008562832678
Colorectal Cancer,25-year,75+,Northern HSCT,Female,561.6674380930341
Colorectal Cancer,25-year,75+,South Eastern HSCT,Female,462.46123582504055
Colorectal Cancer,25-year,75+,Southern HSCT,Female,397.826891923166
Colorectal Cancer,25-year,75+,Western HSCT,Female,357.74357787549184
Gallbladder And Other Biliary Cancer,25-year,0-54,Belfast HSCT,Male,1.3571428571428572
Gallbladder And Other Biliary Cancer,25-year,0-54,Northern HSCT,Male,1.3571428571428572
Gallbladder And Other Biliary Cancer,25-year,0-54,South Eastern HSCT,Male,1.0000000000000002
Gallbladder And Other Biliary Cancer,25-year,0-54,Southern HSCT,Male,1.2857142857142856
Gallbladder And Other Biliary Cancer,25-year,0-54,Western HSCT,Male,1.0000000000000002
Gallbladder And Other Biliary Cancer,25-year,55-64,Belfast HSCT,Male,2.2619047619047614
Gallbladder And Other Biliary Cancer,25-year,55-64,Northern HSCT,Male,2.2619047619047614
Gallbladder And Other Biliary Cancer,25-year,55-64,South Eastern HSCT,Male,1.6666666666666667
Gallbladder And Other Biliary Cancer,25-year,55-64,Southern HSCT,Male,2.1428571428571423
Gallbladder And Other Biliary Cancer,25-year,55-64,Western HSCT,Male,1.6666666666666667
Gallbladder And Other Biliary Cancer,25-year,65-74,Belfast HSCT,Male,6.785714285714286
Gallbladder And Other Biliary Cancer,25-year,65-74,Northern HSCT,Male,6.785714285714286
Gallbladder And Other Biliary Cancer,25-year,65-74,South Eastern HSCT,Male,5.000000000000001
Gallbladder And Other Biliary Cancer,25-year,65-74,Southern HSCT,Male,6.428571428571429
Gallbladder And Other Biliary Cancer,25-year,65-74,Western HSCT,Male,5.000000000000001
Gallbladder And Other Biliary Cancer,25-year,75+,Belfast HSCT,Male,8.595238095238095
